r [Rsol]	 vr_mean [km/s]	 vr_stddev [km/s]	 vr_median [km/s]	 vr_q1 [km/s]	 vr_q3 [km/s]	 rho_mean [cm-3]	 rho_stddev [cm-3]	 rho_median [cm-3]	 rho_q1 [cm-3]	 rho_q3 [cm-3]	 T_mean [K]	 T_stddev [K]	 T_median [K]	 T_q1 [K]	 T_q3 [K]
50.55	 314.739	 66.821	 305.410	 259.807	 359.076	 274.149	 125.670	 302.371	 173.554	 320.882	 167002.751	 97077.110	 122791.668	 94663.576	 253962.391
50.650000000000006	 294.575	 46.023	 270.966	 260.087	 327.350	 305.009	 134.643	 302.817	 197.088	 318.387	 157904.507	 91479.230	 107339.652	 92007.145	 247813.633
50.75	 290.720	 26.311	 297.448	 263.087	 309.014	 273.296	 74.397	 249.860	 225.016	 306.515	 125106.773	 76211.723	 93572.664	 69821.420	 159012.180
50.849999999999994	 292.592	 25.858	 293.297	 266.819	 309.023	 303.100	 152.680	 278.552	 206.566	 305.215	 127562.701	 68169.885	 98920.863	 86281.750	 129960.088
50.95	 286.012	 19.916	 282.630	 270.141	 296.961	 311.851	 150.008	 267.373	 226.763	 307.908	 115037.017	 67351.057	 94112.750	 66325.352	 132773.516
51.05	 289.647	 17.546	 286.373	 274.056	 304.672	 300.750	 180.265	 251.654	 202.205	 286.400	 114531.673	 66322.578	 99030.570	 65674.322	 127443.248
51.150000000000006	 286.061	 21.141	 281.105	 272.015	 290.986	 298.551	 181.657	 244.885	 192.690	 279.493	 110058.403	 60691.232	 95739.781	 61420.803	 138294.266
51.25	 272.563	 23.222	 274.481	 265.947	 283.727	 351.247	 174.607	 263.380	 235.533	 398.531	 110518.553	 57775.637	 107735.984	 65040.981	 152805.531
51.349999999999994	 267.378	 24.904	 271.933	 255.469	 287.122	 374.828	 169.873	 336.775	 244.970	 428.192	 113766.696	 55849.070	 108309.145	 73295.750	 135880.707
51.45	 274.802	 29.670	 273.560	 264.542	 293.150	 364.393	 150.723	 348.684	 247.424	 403.758	 117064.830	 64959.272	 109101.016	 70285.398	 129102.867
51.55	 277.901	 23.724	 274.381	 264.234	 296.741	 313.872	 103.840	 297.846	 238.373	 369.242	 121801.879	 65094.817	 113027.438	 67219.734	 147310.863
51.650000000000006	 277.915	 21.806	 272.304	 263.338	 290.019	 282.864	 136.570	 240.493	 186.013	 319.582	 121759.714	 66090.328	 107619.855	 73500.143	 138268.070
51.75	 277.537	 20.024	 271.894	 264.355	 289.417	 311.841	 156.005	 250.128	 211.771	 339.528	 112022.724	 66773.883	 98327.129	 65236.134	 120633.734
51.849999999999994	 277.395	 16.310	 270.434	 265.607	 289.062	 305.381	 137.043	 253.811	 216.600	 325.866	 112879.110	 61504.259	 109672.750	 57545.980	 136836.094
51.95	 275.711	 15.844	 270.572	 263.710	 284.405	 311.850	 170.694	 253.570	 198.302	 300.570	 105461.439	 49091.017	 110313.266	 55169.115	 133212.070
52.05	 275.148	 20.073	 270.353	 260.997	 283.428	 305.611	 169.613	 246.120	 210.541	 288.992	 105195.220	 43279.671	 104614.391	 65404.543	 128725.586
52.150000000000006	 268.508	 20.401	 265.805	 253.824	 278.605	 305.848	 175.032	 240.373	 210.890	 285.728	 103654.546	 42215.273	 102551.500	 68275.568	 120690.570
52.25	 274.404	 12.409	 270.957	 267.797	 279.571	 296.516	 185.732	 230.766	 203.277	 262.688	 106881.649	 45029.099	 103081.156	 64245.236	 128978.062
52.349999999999994	 277.467	 18.428	 275.794	 267.085	 285.398	 295.644	 178.276	 240.087	 203.250	 275.948	 106894.786	 39916.040	 110465.320	 65894.891	 130666.859
52.45	 274.737	 18.882	 276.080	 267.469	 289.754	 297.527	 153.853	 243.062	 203.423	 321.706	 102589.838	 38827.969	 113324.312	 59815.810	 131877.008
